country_name_x,year,mental_health_value,indicator_code,country_name_matched,country_name_y,GDP_per_capita,School_enrollment,Unemployment
JOR,2010,1.67023763,MH_12,Jordan,Jordan,3718.46571622945,87.3644409179688,12.5
SYR,2001,1.809798987,MH_12,Syrian Arab Republic,Syrian Arab Republic,1186.82913474027,44.8389511108398,11.63
TUN,2011,1.596429196,MH_12,Tunisia,Tunisia,4420.64772206537,89.3414688110352,18.334
AGO,2017,20.4100244,MH_12,Trinidad and Tobago,Trinidad and Tobago,17566.0999700656,79.72026252508348,3.389
UGA,2000,24.81304942,MH_12,Portugal,Portugal,11526.3720667968,108.372886657715,3.806
AUS,2016,16.92721912,MH_12,Australia,Australia,50084.4440606385,155.594390869141,5.711
BRA,2017,10.41299143,MH_12,Brazil,Brazil,10080.5078722821,103.015960693359,12.792
AGO,2000,29.907425,MH_12,Trinidad and Tobago,Trinidad and Tobago,6178.58975559687,79.72026252508348,12.1
PAN,2019,0.423549575,MH_12,Japan,Japan,40415.9567649547,102.670066833496,2.351
VEN,2006,6.30590568,MH_12,Slovenia,Slovenia,19563.005059144,97.2324523925781,5.95
GUY,2003,15.28546732,MH_12,Guyana,Guyana,973.742598054188,83.45947265625,11.529
QAT,2015,1.377553249,MH_12,Qatar,Qatar,68985.2433380102,101.946830749512,0.17
MEX,2012,8.285736963,MH_12,Mexico,Mexico,10744.1335242686,90.6936187744141,4.892
GIN,2010,12.29822181,MH_12,British Virgin Islands,British Virgin Islands,14722.823314233625,105.89769744873,7.757837937420643
EST,2009,17.86630151,MH_12,Estonia,Estonia,14712.4494217916,107.425552368164,13.548
NIC,2009,6.154604906,MH_12,Dominica,Dominica,7487.49010395154,111.792961120605,7.757837937420643
VEN,2015,1.691458877,MH_12,Slovenia,Slovenia,20697.2748530619,109.655220031738,8.962
BEN,2019,19.70013644,MH_12,Benin,Benin,1130.82135339795,79.72026252508348,1.214
AFG,2013,5.681976396,MH_12,Afghanistan,Afghanistan,637.087099117099,54.8833694458008,7.921
ERI,2013,21.51597926,MH_12,Algeria,Algeria,5979.60138960585,79.72026252508348,9.82
KAZ,2012,8.748790101,MH_12,Kazakhstan,Kazakhstan,12018.7966527993,99.0180187395814,5.29
CZE,2005,4.328979409,MH_12,Czechia,Czechia,13442.4916284309,96.0492401123047,7.927
GAB,2000,23.94320369,MH_12,Gabon,Gabon,3982.906200928,79.72026252508348,17.848
THA,2004,4.418161684,MH_12,Thailand,Thailand,2641.56268717857,67.444221496582,1.51
ITA,2005,7.661117297,MH_12,Italy,Italy,32062.723833669,99.2056274414062,7.73
CZE,2008,11.39600241,MH_12,Czechia,Czechia,22774.7045076205,98.0813293457031,4.392
